Date,Stock,Open,High,Low,Close,Volume
2020-01-01 00:00:00,AMZN,154.03,1445.73,390.52,1218.85,263105
2020-01-01 00:01:00,TSLA,1330.43,443.99,986.21,979.21,991092
2020-01-01 00:02:00,MSFT,540.91,112.73,695.82,246.59,395761
2020-01-01 00:03:00,TSLA,280.57,707.33,122.56,1342.56,805346
2020-01-01 00:04:00,TSLA,755.85,602.56,139.43,1384.43,791245
2020-01-01 00:05:00,GOOGL,937.63,854.72,759.59,554.94,2497
2020-01-01 00:06:00,MSFT,143.36,1215.48,356.52,962.42,132614
2020-01-01 00:07:00,MSFT,484.85,1279.4,919.06,789.26,452286
2020-01-01 00:08:00,MSFT,145.92,661.72,671.47,1418.83,900377
2020-01-01 00:09:00,TSLA,688.47,701.78,1016.19,812.25,607586
2020-01-01 00:10:00,AMZN,1353.14,307.45,1433.35,1443.95,267579
2020-01-01 00:11:00,MSFT,1475.71,166.57,840.23,379.08,228478
2020-01-01 00:12:00,TSLA,991.87,997.7,1202.33,583.75,229396
2020-01-01 00:13:00,GOOGL,326.29,190.21,1154.26,1193.88,525250
2020-01-01 00:14:00,AMZN,1368.19,1127.36,1390.51,1197.06,267446
2020-01-01 00:15:00,GOOGL,822.75,854.73,399.63,1125.06,45453
2020-01-01 00:16:00,AMZN,315.25,378.02,1258.26,1303.46,236658
2020-01-01 00:17:00,TSLA,1390.42,855.33,1367.73,1083.56,127343
2020-01-01 00:18:00,AAPL,1160.46,356.2,649.87,990.52,894773
2020-01-01 00:19:00,AMZN,1124.39,714.23,539.34,742.5,736615
2020-01-01 00:20:00,GOOGL,1092.85,1219.38,1432.85,753.92,660212
2020-01-01 00:21:00,TSLA,380.48,746.69,978.69,668.63,382653
2020-01-01 00:22:00,AMZN,395.41,308.18,632.95,968.3,99977
2020-01-01 00:23:00,AAPL,1063.61,1113.36,1208.56,669.33,364968
2020-01-01 00:24:00,AAPL,407.61,361.48,526.26,306.49,703308
2020-01-01 00:25:00,MSFT,714.14,1133.97,346.97,249.14,864199
2020-01-01 00:26:00,MSFT,1194.8,771.09,861.56,1394.26,711858
2020-01-01 00:27:00,GOOGL,1197.53,735.24,892.7,134.63,265201
2020-01-01 00:28:00,AMZN,734.57,1292.01,1256.05,247.65,849221
2020-01-01 00:29:00,AMZN,1209.07,1092.04,739.84,723.43,481331
2020-01-01 00:30:00,MSFT,1274.07,146.08,1240.42,468.1,711377
2020-01-01 00:31:00,AMZN,1016.69,514.64,535.85,668.19,326352
2020-01-01 00:32:00,AMZN,419.8,1319.29,905.52,264.43,897886
2020-01-01 00:33:00,AAPL,483.62,125.66,391.86,283.27,292032
2020-01-01 00:34:00,MSFT,540.78,863.35,639.62,1220.92,227595
2020-01-01 00:35:00,TSLA,263.53,1118.96,1300.56,1162.75,105451
2020-01-01 00:36:00,MSFT,482.42,970.6,402.38,245.95,520545
2020-01-01 00:37:00,TSLA,393.33,1164.75,1234.34,1034.91,146044
2020-01-01 00:38:00,AAPL,737.46,1115.97,496.02,953.04,885604
2020-01-01 00:39:00,GOOGL,1371.81,1068.84,148.29,1098.71,92836
2020-01-01 00:40:00,AMZN,246.27,1250.16,253.91,764.23,888389
2020-01-01 00:41:00,AAPL,1108.38,1003.97,1144.23,477.98,469005
2020-01-01 00:42:00,AMZN,1062.2,663.39,466.9,1029.15,587315
2020-01-01 00:43:00,GOOGL,234.06,760.67,1015.8,619.9,977166
2020-01-01 00:44:00,GOOGL,1391.6,1103.41,1078.88,406.53,401472
2020-01-01 00:45:00,AAPL,895.86,1326.83,583.17,672.08,556829
2020-01-01 00:46:00,GOOGL,609.22,481.11,764.89,1168.58,321317
2020-01-01 00:47:00,TSLA,1159.15,578.91,665.27,766.11,392442
2020-01-01 00:48:00,GOOGL,460.31,1403.04,1426.29,519.81,324073
2020-01-01 00:49:00,AMZN,1070.91,909.92,547.93,1264.62,241789
2020-01-01 00:50:00,AMZN,155.6,350.55,356.65,1334.3,859717
2020-01-01 00:51:00,AMZN,1275.17,1029.17,611.83,706.55,897312
